Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
116,0,2,3,3.188911111,0.38,0.00,0.12,0.86,D,1,7/23/2020 21:37
117,0,2,3,3.222244444,0.39,0.00,0.12,0.85,D,1,7/23/2020 21:39
118,0,2,3,3.255577778,0.39,0.00,0.12,0.85,D,1,7/23/2020 21:41
119,0,2,3,3.288911111,0.39,0.00,0.12,0.84,D,1,7/23/2020 21:43
120,0,2,3,3.322244444,0.40,0.00,0.12,0.84,D,1,7/23/2020 21:45
121,0,2,3,3.355577778,0.40,0.00,0.12,0.83,D,1,7/23/2020 21:47
122,0,2,3,3.388911111,0.41,0.00,0.12,0.83,D,1,7/23/2020 21:49
123,0,2,4,3.422244444,0.41,0.00,0.12,0.82,D,1,7/23/2020 21:51
124,0,2,4,3.455577778,0.41,0.00,0.12,0.82,D,1,7/23/2020 21:53
125,0,2,4,3.488911111,0.42,0.00,0.12,0.82,D,1,7/23/2020 21:55
126,0,2,4,3.522244444,0.42,0.00,0.12,0.81,D,1,7/23/2020 21:57
127,0,2,4,3.555577778,0.43,0.00,0.12,0.81,D,1,7/23/2020 21:59
128,0,2,4,3.588911111,0.43,0.00,0.12,0.81,D,1,7/23/2020 22:01
129,0,2,4,3.622244444,0.43,0.00,0.12,0.80,D,1,7/23/2020 22:03
130,0,2,4,3.655577778,0.44,0.00,0.12,0.80,D,1,7/23/2020 22:05
131,0,2,4,3.688911111,0.44,0.00,0.12,0.80,D,1,7/23/2020 22:07
132,0,2,4,3.722244444,0.45,0.00,0.12,0.79,D,1,7/23/2020 22:09
133,0,2,4,3.755577778,0.45,0.00,0.12,0.79,D,1,7/23/2020 22:11
134,0,2,4,3.788911111,0.45,0.00,0.12,0.79,D,1,7/23/2020 22:13
135,0,2,4,3.822244444,0.46,0.00,0.12,0.79,D,1,7/23/2020 22:15
136,0,2,4,3.855577778,0.46,0.00,0.12,0.79,D,1,7/23/2020 22:17
137,0,2,4,3.888911111,0.47,0.00,0.12,0.79,D,1,7/23/2020 22:19
138,0,2,4,3.922244444,0.47,0.00,0.12,0.78,D,1,7/23/2020 22:21
139,0,2,4,3.955577778,0.47,0.00,0.12,0.78,D,1,7/23/2020 22:23
140,0,2,4,3.988911111,0.48,0.00,0.12,0.78,D,1,7/23/2020 22:25
141,0,2,4,4.022244444,0.48,0.00,0.12,0.78,D,1,7/23/2020 22:27
142,0,2,4,4.055577778,0.49,0.00,0.12,0.78,D,1,7/23/2020 22:29
143,0,2,4,4.088911111,0.49,0.00,0.12,0.78,D,1,7/23/2020 22:31
144,0,2,4,4.122244444,0.49,0.00,0.12,0.78,D,1,7/23/2020 22:33
145,0,2,4,4.155577778,0.50,0.00,0.12,0.78,D,1,7/23/2020 22:35
146,0,2,4,4.188911111,0.50,0.00,0.12,0.78,D,1,7/23/2020 22:37
147,0,2,4,4.222244444,0.51,0.00,0.12,0.77,D,1,7/23/2020 22:39
148,0,2,4,4.255577778,0.51,0.00,0.12,0.77,D,1,7/23/2020 22:41
149,0,2,4,4.288911111,0.51,0.00,0.12,0.77,D,1,7/23/2020 22:43
150,0,2,4,4.322244444,0.52,0.00,0.12,0.77,D,1,7/23/2020 22:45
151,0,2,4,4.355577778,0.52,0.00,0.12,0.77,D,1,7/23/2020 22:47
152,0,2,4,4.388911111,0.53,0.00,0.12,0.77,D,1,7/23/2020 22:49
153,0,2,5,4.422244444,0.53,0.00,0.12,0.77,D,1,7/23/2020 22:51
154,0,2,5,4.455577778,0.53,0.00,0.12,0.77,D,1,7/23/2020 22:53
155,0,2,5,4.488911111,0.54,0.00,0.12,0.77,D,1,7/23/2020 22:55
156,0,2,5,4.522244444,0.54,0.00,0.12,0.77,D,1,7/23/2020 22:57
157,0,2,5,4.555577778,0.55,0.00,0.12,0.77,D,1,7/23/2020 22:59
158,0,2,5,4.588911111,0.55,0.00,0.12,0.77,D,1,7/23/2020 23:01
159,0,2,5,4.622244444,0.55,0.00,0.12,0.77,D,1,7/23/2020 23:03
160,0,2,5,4.655577778,0.56,0.00,0.12,0.77,D,1,7/23/2020 23:05
161,0,2,5,4.688911111,0.56,0.00,0.12,0.77,D,1,7/23/2020 23:07
162,0,2,5,4.722244444,0.57,0.00,0.12,0.77,D,1,7/23/2020 23:09
163,0,2,5,4.755577778,0.57,0.00,0.12,0.77,D,1,7/23/2020 23:11
164,0,2,5,4.788911111,0.57,0.00,0.12,0.77,D,1,7/23/2020 23:13
165,0,2,5,4.822244444,0.58,0.00,0.12,0.77,D,1,7/23/2020 23:15
166,0,2,5,4.855577778,0.58,0.00,0.12,0.76,D,1,7/23/2020 23:17
167,0,2,5,4.888911111,0.59,0.00,0.12,0.76,D,1,7/23/2020 23:19
168,0,2,5,4.922244444,0.59,0.00,0.12,0.76,D,1,7/23/2020 23:21
169,0,2,5,4.955577778,0.59,0.00,0.12,0.76,D,1,7/23/2020 23:23
170,0,2,5,4.988911111,0.60,0.00,0.12,0.76,D,1,7/23/2020 23:25
171,0,2,5,5.022244444,0.60,0.00,0.12,0.76,D,1,7/23/2020 23:27
172,0,2,5,5.055577778,0.61,0.00,0.12,0.76,D,1,7/23/2020 23:29
173,0,2,5,5.088911111,0.61,0.00,0.12,0.76,D,1,7/23/2020 23:31
174,0,2,5,5.122244444,0.61,0.00,0.12,0.76,D,1,7/23/2020 23:33
175,0,2,5,5.155577778,0.62,0.00,0.12,0.76,D,1,7/23/2020 23:35
176,0,2,5,5.188911111,0.62,0.00,0.12,0.76,D,1,7/23/2020 23:37
177,0,2,5,5.222244444,0.63,0.00,0.12,0.76,D,1,7/23/2020 23:39
178,0,2,5,5.255577778,0.63,0.00,0.12,0.76,D,1,7/23/2020 23:41
179,0,2,5,5.288911111,0.63,0.00,0.12,0.76,D,1,7/23/2020 23:43
180,0,2,5,5.322244444,0.64,0.00,0.12,0.76,D,1,7/23/2020 23:45
181,0,2,5,5.355577778,0.64,0.00,0.12,0.76,D,1,7/23/2020 23:47
182,0,2,5,5.388911111,0.65,0.00,0.12,0.76,D,1,7/23/2020 23:49
183,0,2,6,5.422244444,0.65,0.00,0.12,0.76,D,1,7/23/2020 23:51
184,0,2,6,5.455577778,0.65,0.00,0.12,0.76,D,1,7/23/2020 23:53
185,0,2,6,5.488911111,0.66,0.00,0.12,0.76,D,1,7/23/2020 23:55
186,0,2,6,5.522244444,0.66,0.00,0.12,0.76,D,1,7/23/2020 23:57
187,0,2,6,5.555577778,0.67,0.00,0.12,0.76,D,1,7/23/2020 23:59
188,0,2,6,5.588911111,0.67,0.00,0.12,0.76,D,1,7/24/2020 0:01
189,0,2,6,5.622244444,0.67,0.00,0.12,0.76,D,1,7/24/2020 0:03
190,0,2,6,5.655577778,0.68,0.00,0.12,0.76,D,1,7/24/2020 0:05
191,0,2,6,5.688911111,0.68,0.00,0.12,0.76,D,1,7/24/2020 0:07
192,0,2,6,5.722244444,0.69,0.00,0.12,0.76,D,1,7/24/2020 0:09
193,0,2,6,5.755577778,0.69,0.00,0.12,0.76,D,1,7/24/2020 0:11
194,0,2,6,5.788911111,0.69,0.00,0.12,0.76,D,1,7/24/2020 0:13
195,0,2,6,5.822244444,0.70,0.00,0.12,0.76,D,1,7/24/2020 0:15
196,0,2,6,5.855577778,0.70,0.00,0.12,0.76,D,1,7/24/2020 0:17
197,0,2,6,5.888911111,0.71,0.00,0.12,0.76,D,1,7/24/2020 0:19
198,0,2,6,5.922244444,0.71,0.00,0.12,0.76,D,1,7/24/2020 0:21
199,0,2,6,5.955577778,0.71,0.00,0.12,0.76,D,1,7/24/2020 0:23
200,0,2,6,5.988911111,0.72,0.00,0.12,0.76,D,1,7/24/2020 0:25
201,0,2,6,6.022244444,0.72,0.00,0.12,0.76,D,1,7/24/2020 0:27
202,0,2,6,6.055577778,0.73,0.00,0.12,0.76,D,1,7/24/2020 0:29
203,0,2,6,6.088911111,0.73,0.00,0.12,0.76,D,1,7/24/2020 0:31
204,0,2,6,6.122244444,0.73,0.00,0.12,0.76,D,1,7/24/2020 0:33
205,0,2,6,6.155577778,0.74,0.00,0.12,0.76,D,1,7/24/2020 0:35
206,0,2,6,6.188911111,0.74,0.00,0.12,0.76,D,1,7/24/2020 0:37
207,0,2,6,6.222244444,0.75,0.00,0.12,0.76,D,1,7/24/2020 0:39
208,0,2,6,6.255577778,0.75,0.00,0.12,0.76,D,1,7/24/2020 0:41
209,0,2,6,6.288911111,0.75,0.00,0.12,0.76,D,1,7/24/2020 0:43
210,0,2,6,6.322244444,0.76,0.00,0.12,0.75,D,1,7/24/2020 0:45
211,0,2,6,6.355577778,0.76,0.00,0.12,0.75,D,1,7/24/2020 0:47
212,0,2,6,6.388911111,0.77,0.00,0.12,0.75,D,1,7/24/2020 0:49
213,0,2,7,6.422244444,0.77,0.00,0.12,0.75,D,1,7/24/2020 0:51
214,0,2,7,6.455577778,0.77,0.00,0.12,0.75,D,1,7/24/2020 0:53
215,0,2,7,6.488911111,0.78,0.00,0.12,0.75,D,1,7/24/2020 0:55
216,0,2,7,6.522244444,0.78,0.00,0.12,0.75,D,1,7/24/2020 0:57
217,0,2,7,6.555577778,0.79,0.00,0.12,0.75,D,1,7/24/2020 0:59
218,0,2,7,6.588911111,0.79,0.00,0.12,0.75,D,1,7/24/2020 1:01
219,0,2,7,6.622244444,0.79,0.00,0.12,0.75,D,1,7/24/2020 1:03
220,0,2,7,6.655577778,0.80,0.00,0.12,0.75,D,1,7/24/2020 1:05
221,0,2,7,6.688911111,0.80,0.00,0.12,0.75,D,1,7/24/2020 1:07
222,0,2,7,6.722244444,0.81,0.00,0.12,0.75,D,1,7/24/2020 1:09
223,0,2,7,6.755577778,0.81,0.00,0.12,0.75,D,1,7/24/2020 1:11
224,0,2,7,6.788911111,0.81,0.00,0.12,0.75,D,1,7/24/2020 1:13
225,0,2,7,6.822244444,0.82,0.00,0.12,0.75,D,1,7/24/2020 1:15
226,0,2,7,6.855577778,0.82,0.00,0.12,0.75,D,1,7/24/2020 1:17
227,0,2,7,6.888911111,0.83,0.00,0.12,0.75,D,1,7/24/2020 1:19
228,0,2,7,6.922244444,0.83,0.00,0.12,0.75,D,1,7/24/2020 1:21
229,0,2,7,6.955577778,0.83,0.00,0.12,0.75,D,1,7/24/2020 1:23
230,0,2,7,6.988911111,0.84,0.00,0.12,0.74,D,1,7/24/2020 1:25
231,0,2,7,7.022244444,0.84,0.00,0.12,0.74,D,1,7/24/2020 1:27
232,0,2,7,7.055577778,0.85,0.00,0.12,0.74,D,1,7/24/2020 1:29
233,0,2,7,7.088911111,0.85,0.00,0.12,0.74,D,1,7/24/2020 1:31
234,0,2,7,7.122244444,0.85,0.00,0.12,0.74,D,1,7/24/2020 1:33
235,0,2,7,7.155577778,0.86,0.00,0.12,0.74,D,1,7/24/2020 1:35
236,0,2,7,7.188911111,0.86,0.00,0.12,0.74,D,1,7/24/2020 1:37
237,0,2,7,7.222244444,0.87,0.00,0.12,0.74,D,1,7/24/2020 1:39
238,0,2,7,7.255577778,0.87,0.00,0.12,0.74,D,1,7/24/2020 1:41
239,0,2,7,7.288911111,0.87,0.00,0.12,0.74,D,1,7/24/2020 1:43
240,0,2,7,7.322244444,0.88,0.00,0.12,0.73,D,1,7/24/2020 1:45
241,0,2,7,7.355577778,0.88,0.00,0.12,0.73,D,1,7/24/2020 1:47
242,0,2,7,7.388911111,0.89,0.00,0.12,0.73,D,1,7/24/2020 1:49
243,0,2,8,7.422244444,0.89,0.00,0.12,0.73,D,1,7/24/2020 1:51
244,0,2,8,7.455577778,0.89,0.00,0.12,0.73,D,1,7/24/2020 1:53
