C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.0059403468,0.00,0.30,0.19,D,5
0.0062361421,0.00,0.30,0.18,D,5
0.0066344237,0.00,0.30,0.17,D,5
0.0073243391,0.00,0.30,0.16,D,5
0.0088608085,0.00,0.30,0.15,D,5
0.0147367317,0.00,0.30,0.14,D,5
0.0247354834,0.00,0.30,0.13,D,1
0.0347342152,0.00,0.30,0.13,D,1
0.0447329516,0.00,0.30,0.13,D,1
0.0547316939,0.00,0.30,0.12,D,1
0.0647304367,0.00,0.30,0.12,D,1
0.0747291778,0.00,0.30,0.12,D,1
0.0847279218,0.00,0.30,0.11,D,1
0.0947266620,0.00,0.30,0.11,D,1
0.1047253924,0.00,0.30,0.11,D,1
0.1147241251,0.00,0.30,0.10,D,1
0.1247228631,0.00,0.30,0.10,D,1
0.1347216019,0.00,0.30,0.10,D,1
0.1447203442,0.00,0.30,0.09,D,1
0.1547190870,0.00,0.30,0.09,D,1
0.1647178247,0.00,0.30,0.09,D,1
0.1747165519,0.00,0.30,0.08,D,1
0.1847153030,0.00,0.30,0.08,D,1
0.1947140393,0.00,0.30,0.08,D,1
0.2047127808,0.00,0.30,0.07,D,1
0.2147115360,0.00,0.30,0.07,D,1
0.2247102863,0.00,0.30,0.07,D,1
0.2347090236,0.00,0.30,0.06,D,1
0.2447077641,0.00,0.30,0.06,D,1
0.2547065035,0.00,0.30,0.06,D,1
0.2647052506,0.00,0.30,0.06,D,1
0.2747039991,0.00,0.30,0.05,D,1
0.2847027418,0.00,0.30,0.05,D,1
0.2947014797,0.00,0.30,0.05,D,1
0.3047002342,0.00,0.30,0.04,D,1
0.3146989655,0.00,0.30,0.04,D,1
0.3246977098,0.00,0.30,0.04,D,1
0.3346964491,0.00,0.30,0.03,D,1
0.3446951929,0.00,0.30,0.03,D,1
0.3546939426,0.00,0.30,0.03,D,1
