Today''s Date,06/26/2020,Date of Test:,06/24/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_211_176A.062,Procedure,GS_211_176A.000,,SCap,1,C Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,2,1,1.082094444,0.367846,0.00,0.34,0.88,D,1,6/24/2020 15:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,2,1,1.098761111,0.373512,0.00,0.34,0.88,D,1,6/24/2020 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,2,1,1.115427778,0.379178,0.00,0.34,0.88,D,1,6/24/2020 15:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,2,1,1.132094444,0.384843,0.00,0.34,0.88,D,1,6/24/2020 15:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,2,1,1.148761111,0.390509,0.00,0.34,0.88,D,1,6/24/2020 15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,2,1,1.165427778,0.396175,0.00,0.34,0.88,D,1,6/24/2020 15:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,2,1,1.182094444,0.401840,0.00,0.34,0.88,D,1,6/24/2020 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,2,1,1.198761111,0.407506,0.00,0.34,0.88,D,1,6/24/2020 15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,2,1,1.215427778,0.413172,0.00,0.34,0.88,D,1,6/24/2020 15:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,2,1,1.232094444,0.418837,0.00,0.34,0.87,D,1,6/24/2020 15:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,2,1,1.248761111,0.424503,0.00,0.34,0.87,D,1,6/24/2020 15:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,2,1,1.265427778,0.430169,0.00,0.34,0.87,D,1,6/24/2020 15:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,2,1,1.282094444,0.435835,0.00,0.34,0.87,D,1,6/24/2020 15:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,2,1,1.298761111,0.441500,0.00,0.34,0.87,D,1,6/24/2020 15:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,2,1,1.315427778,0.447166,0.00,0.34,0.87,D,1,6/24/2020 15:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,2,1,1.332094444,0.452832,0.00,0.34,0.87,D,1,6/24/2020 15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,2,1,1.348761111,0.458497,0.00,0.34,0.87,D,1,6/24/2020 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,2,1,1.365427778,0.464163,0.00,0.34,0.87,D,1,6/24/2020 15:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,2,1,1.382094444,0.469829,0.00,0.34,0.87,D,1,6/24/2020 15:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,2,1,1.398761111,0.475494,0.00,0.34,0.87,D,1,6/24/2020 15:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,2,1,1.415427778,0.481160,0.00,0.34,0.86,D,1,6/24/2020 15:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,2,2,1.432094444,0.486826,0.00,0.34,0.86,D,1,6/24/2020 15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,2,2,1.448761111,0.492491,0.00,0.34,0.86,D,1,6/24/2020 15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,2,2,1.465427778,0.498157,0.00,0.34,0.86,D,1,6/24/2020 15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,2,2,1.482094444,0.503823,0.00,0.34,0.86,D,1,6/24/2020 15:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,2,2,1.498761111,0.509488,0.00,0.34,0.86,D,1,6/24/2020 15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,2,2,1.515427778,0.515154,0.00,0.34,0.86,D,1,6/24/2020 15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,2,2,1.532094444,0.520820,0.00,0.34,0.86,D,1,6/24/2020 15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,2,2,1.548761111,0.526485,0.00,0.34,0.86,D,1,6/24/2020 15:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,2,2,1.565427778,0.532151,0.00,0.34,0.86,D,1,6/24/2020 15:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,2,2,1.582094444,0.537817,0.00,0.34,0.86,D,1,6/24/2020 15:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,2,2,1.598761111,0.543482,0.00,0.34,0.86,D,1,6/24/2020 15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,2,2,1.615427778,0.549148,0.00,0.34,0.85,D,1,6/24/2020 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,2,2,1.632094444,0.554814,0.00,0.34,0.85,D,1,6/24/2020 15:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,2,2,1.648761111,0.560479,0.00,0.34,0.85,D,1,6/24/2020 15:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,2,2,1.665427778,0.566145,0.00,0.34,0.85,D,1,6/24/2020 15:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,2,2,1.682094444,0.571811,0.00,0.34,0.85,D,1,6/24/2020 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,2,2,1.698761111,0.577477,0.00,0.34,0.85,D,1,6/24/2020 16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,2,2,1.715427778,0.583142,0.00,0.34,0.85,D,1,6/24/2020 16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,2,2,1.732094444,0.588808,0.00,0.34,0.85,D,1,6/24/2020 16:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,2,2,1.748761111,0.594474,0.00,0.34,0.85,D,1,6/24/2020 16:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,2,2,1.765427778,0.600139,0.00,0.34,0.85,D,1,6/24/2020 16:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,2,2,1.782094444,0.605805,0.00,0.34,0.85,D,1,6/24/2020 16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,2,2,1.798761111,0.611471,0.00,0.34,0.85,D,1,6/24/2020 16:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,2,2,1.815427778,0.617136,0.00,0.34,0.85,D,1,6/24/2020 16:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,2,2,1.832094444,0.622802,0.00,0.34,0.84,D,1,6/24/2020 16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,2,2,1.848761111,0.628468,0.00,0.34,0.84,D,1,6/24/2020 16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,2,2,1.865427778,0.634133,0.00,0.34,0.84,D,1,6/24/2020 16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,2,2,1.882094444,0.639799,0.00,0.34,0.84,D,1,6/24/2020 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,2,2,1.898761111,0.645465,0.00,0.34,0.84,D,1,6/24/2020 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,2,2,1.915427778,0.651130,0.00,0.34,0.84,D,1,6/24/2020 16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,2,2,1.932094444,0.656796,0.00,0.34,0.84,D,1,6/24/2020 16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,2,2,1.948761111,0.662462,0.00,0.34,0.84,D,1,6/24/2020 16:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,2,2,1.965427778,0.668127,0.00,0.34,0.84,D,1,6/24/2020 16:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,2,2,1.982094444,0.673793,0.00,0.34,0.84,D,1,6/24/2020 16:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,2,2,1.998761111,0.679459,0.00,0.34,0.84,D,1,6/24/2020 16:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,2,2,2.015427778,0.685124,0.00,0.34,0.84,D,1,6/24/2020 16:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,2,2,2.032094444,0.690790,0.00,0.34,0.84,D,1,6/24/2020 16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,2,2,2.048761111,0.696456,0.00,0.34,0.84,D,1,6/24/2020 16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,2,2,2.065427778,0.702121,0.00,0.34,0.84,D,1,6/24/2020 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0,2,2,2.082094444,0.707787,0.00,0.34,0.83,D,1,6/24/2020 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,2,2,2.098761111,0.713453,0.00,0.34,0.83,D,1,6/24/2020 16:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0,2,2,2.115427778,0.719119,0.00,0.34,0.83,D,1,6/24/2020 16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,2,2,2.132094444,0.724784,0.00,0.34,0.83,D,1,6/24/2020 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,2,2,2.148761111,0.730450,0.00,0.34,0.83,D,1,6/24/2020 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,2,2,2.165427778,0.736116,0.00,0.34,0.83,D,1,6/24/2020 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0,2,2,2.182094444,0.741781,0.00,0.34,0.83,D,1,6/24/2020 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,2,2,2.198761111,0.747447,0.00,0.34,0.83,D,1,6/24/2020 16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,2,2,2.215427778,0.753113,0.00,0.34,0.83,D,1,6/24/2020 16:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,2,2,2.232094444,0.758778,0.00,0.34,0.83,D,1,6/24/2020 16:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0,2,2,2.248761111,0.764444,0.00,0.34,0.83,D,1,6/24/2020 16:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,2,2,2.265427778,0.770110,0.00,0.34,0.83,D,1,6/24/2020 16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0,2,2,2.282094444,0.775775,0.00,0.34,0.83,D,1,6/24/2020 16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0,2,2,2.298761111,0.781441,0.00,0.34,0.83,D,1,6/24/2020 16:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0,2,2,2.315427778,0.787107,0.00,0.34,0.82,D,1,6/24/2020 16:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0,2,2,2.332094444,0.792772,0.00,0.34,0.82,D,1,6/24/2020 16:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
